full_address,onemap_result,hdb_LATITUDE,hdb_LONGITUDE,hdb_POSTAL
223 ANG MO KIO AVE 1,"{'SEARCHVAL': '223 ANG MO KIO AVENUE 1 SINGAPORE 560223', 'BLK_NO': '223', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'NIL', 'ADDRESS': '223 ANG MO KIO AVENUE 1 SINGAPORE 560223', 'POSTAL': '560223', 'X': '28534.6432265872', 'Y': '38676.1728609148', 'LATITUDE': '1.36604808445916', 'LONGITUDE': '103.838122716883'}",1.36604808445916,103.838122716883,560223.0
117 ANG MO KIO AVE 4,"{'SEARCHVAL': 'KEBUN BARU HEIGHTS', 'BLK_NO': '117', 'ROAD_NAME': 'ANG MO KIO AVENUE 4', 'BUILDING': 'KEBUN BARU HEIGHTS', 'ADDRESS': '117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117', 'POSTAL': '560117', 'X': '28255.0592533173', 'Y': '39524.1712259967', 'LATITUDE': '1.3737170825368', 'LONGITUDE': '103.835610469339'}",1.3737170825368,103.835610469339,560117.0
230 ANG MO KIO AVE 3,"{'SEARCHVAL': 'KEBUN BARU PALM VIEW', 'BLK_NO': '230', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'KEBUN BARU PALM VIEW', 'ADDRESS': '230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230', 'POSTAL': '560230', 'X': '28509.4560266165', 'Y': '38986.4866770636', 'LATITUDE': '1.36885445228086', 'LONGITUDE': '103.837896397823'}",1.36885445228086,103.837896397823,560230.0
329 ANG MO KIO AVE 3,"{'SEARCHVAL': 'ANG MO KIO 31', 'BLK_NO': '329', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'ANG MO KIO 31', 'ADDRESS': '329 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560329', 'POSTAL': '560329', 'X': '29508.602895556', 'Y': '38737.1035531238', 'LATITUDE': '1.36659908629034', 'LONGITUDE': '103.846874419073'}",1.36659908629034,103.846874419073,560329.0
128 ANG MO KIO AVE 3,"{'SEARCHVAL': '128 ANG MO KIO AVENUE 3 SINGAPORE 560128', 'BLK_NO': '128', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'NIL', 'ADDRESS': '128 ANG MO KIO AVENUE 3 SINGAPORE 560128', 'POSTAL': '560128', 'X': '29138.2979054097', 'Y': '39205.1588756125', 'LATITUDE': '1.37083202800001', 'LONGITUDE': '103.843546990613'}",1.37083202800001,103.843546990613,560128.0
405 ANG MO KIO AVE 10,"{'SEARCHVAL': '405 ANG MO KIO AVENUE 10 SINGAPORE 560405', 'BLK_NO': '405', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '405 ANG MO KIO AVENUE 10 SINGAPORE 560405', 'POSTAL': '560405', 'X': '30279.9414777411', 'Y': '38182.0274747685', 'LATITUDE': '1.36157912717139', 'LONGITUDE': '103.853805386957'}",1.36157912717139,103.853805386957,560405.0
345 ANG MO KIO AVE 3,"{'SEARCHVAL': 'TECK GHEE EVERGREEN', 'BLK_NO': '345', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'TECK GHEE EVERGREEN', 'ADDRESS': '345 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560345', 'POSTAL': '560345', 'X': '29817.6830492252', 'Y': '38835.2892298773', 'LATITUDE': '1.36748702509964', 'LONGITUDE': '103.849651723914'}",1.36748702509964,103.849651723914,560345.0
404 ANG MO KIO AVE 10,"{'SEARCHVAL': '404 ANG MO KIO AVENUE 10 SINGAPORE 560404', 'BLK_NO': '404', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '404 ANG MO KIO AVENUE 10 SINGAPORE 560404', 'POSTAL': '560404', 'X': '30382.4496344449', 'Y': '38192.9247964099', 'LATITUDE': '1.36167767060852', 'LONGITUDE': '103.854726492538'}",1.36167767060852,103.854726492538,560404.0
126 ANG MO KIO AVE 3,"{'SEARCHVAL': '126 ANG MO KIO AVENUE 3 SINGAPORE 560126', 'BLK_NO': '126', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'NIL', 'ADDRESS': '126 ANG MO KIO AVENUE 3 SINGAPORE 560126', 'POSTAL': '560126', 'X': '29149.1131100124', 'Y': '39295.5950707626', 'LATITUDE': '1.37164990020956', 'LONGITUDE': '103.843644176374'}",1.37164990020956,103.843644176374,560126.0
346 ANG MO KIO AVE 3,"{'SEARCHVAL': 'TECK GHEE EVERGREEN', 'BLK_NO': '346', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'TECK GHEE EVERGREEN', 'ADDRESS': '346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346', 'POSTAL': '560346', 'X': '29818.8606554', 'Y': '38792.0371589176', 'LATITUDE': '1.36709586875167', 'LONGITUDE': '103.84966230288'}",1.36709586875167,103.84966230288,560346.0
127 ANG MO KIO AVE 3,"{'SEARCHVAL': '127 ANG MO KIO AVENUE 3 SINGAPORE 560127', 'BLK_NO': '127', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'NIL', 'ADDRESS': '127 ANG MO KIO AVENUE 3 SINGAPORE 560127', 'POSTAL': '560127', 'X': '29143.4537537564', 'Y': '39248.4150327519', 'LATITUDE': '1.37122322102767', 'LONGITUDE': '103.843593321222'}",1.37122322102767,103.843593321222,560127.0
313 ANG MO KIO AVE 3,"{'SEARCHVAL': 'TECK GHEE EVERGREEN', 'BLK_NO': '313', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'TECK GHEE EVERGREEN', 'ADDRESS': '313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313', 'POSTAL': '560313', 'X': '29871.3180071767', 'Y': '38742.7053699438', 'LATITUDE': '1.36664972640598', 'LONGITUDE': '103.850133665442'}",1.36664972640598,103.850133665442,560313.0
403 ANG MO KIO AVE 10,"{'SEARCHVAL': '403 ANG MO KIO AVENUE 10 SINGAPORE 560403', 'BLK_NO': '403', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '403 ANG MO KIO AVENUE 10 SINGAPORE 560403', 'POSTAL': '560403', 'X': '30373.0877168132', 'Y': '38147.7376024462', 'LATITUDE': '1.36126901451361', 'LONGITUDE': '103.854642365822'}",1.36126901451361,103.854642365822,560403.0
129 ANG MO KIO AVE 3,"{'SEARCHVAL': 'YIO CHU KANG VILLE', 'BLK_NO': '129', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'YIO CHU KANG VILLE', 'ADDRESS': '129 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560129', 'POSTAL': '560129', 'X': '28972.7085465211', 'Y': '39101.545211073', 'LATITUDE': '1.36989498895756', 'LONGITUDE': '103.842059049722'}",1.36989498895756,103.842059049722,560129.0
343 ANG MO KIO AVE 3,"{'SEARCHVAL': 'MY FIRST SKOOL', 'BLK_NO': '343', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'MY FIRST SKOOL', 'ADDRESS': '343 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560343', 'POSTAL': '560343', 'X': '29761.9704968724', 'Y': '38933.448694557', 'LATITUDE': '1.36837474759489', 'LONGITUDE': '103.849151113749'}",1.36837474759489,103.849151113749,560343.0
252 ANG MO KIO AVE 4,,,,
110 ANG MO KIO AVE 4,"{'SEARCHVAL': 'KEBUN BARU HEIGHTS', 'BLK_NO': '110', 'ROAD_NAME': 'ANG MO KIO AVENUE 4', 'BUILDING': 'KEBUN BARU HEIGHTS', 'ADDRESS': '110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110', 'POSTAL': '560110', 'X': '28456.3560250094', 'Y': '39163.9502265006', 'LATITUDE': '1.37045937010888', 'LONGITUDE': '103.837419259859'}",1.37045937010888,103.837419259859,560110.0
417 ANG MO KIO AVE 10,"{'SEARCHVAL': 'TECK GHEE HEARTLANDS', 'BLK_NO': '417', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'TECK GHEE HEARTLANDS', 'ADDRESS': '417 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560417', 'POSTAL': '560417', 'X': '30434.8191788001', 'Y': '38555.8168849312', 'LATITUDE': '1.36495953274783', 'LONGITUDE': '103.855197097728'}",1.36495953274783,103.855197097728,560417.0
418 ANG MO KIO AVE 10,"{'SEARCHVAL': 'TECK GHEE HEARTLANDS', 'BLK_NO': '418', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'TECK GHEE HEARTLANDS', 'ADDRESS': '418 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560418', 'POSTAL': '560418', 'X': '30306.424086879', 'Y': '38554.3208898362', 'LATITUDE': '1.3649460137791', 'LONGITUDE': '103.854043379775'}",1.3649460137791,103.854043379775,560418.0
442 ANG MO KIO AVE 10,"{'SEARCHVAL': '442 ANG MO KIO AVENUE 10 SINGAPORE 560442', 'BLK_NO': '442', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '442 ANG MO KIO AVENUE 10 SINGAPORE 560442', 'POSTAL': '560442', 'X': '30438.7244448634', 'Y': '38632.5267916098', 'LATITUDE': '1.36565326940253', 'LONGITUDE': '103.855232195496'}",1.36565326940253,103.855232195496,560442.0
443 ANG MO KIO AVE 10,"{'SEARCHVAL': '443 ANG MO KIO AVENUE 10 SINGAPORE 560443', 'BLK_NO': '443', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '443 ANG MO KIO AVENUE 10 SINGAPORE 560443', 'POSTAL': '560443', 'X': '30453.9452755675', 'Y': '38675.7196281254', 'LATITUDE': '1.36604388871674', 'LONGITUDE': '103.855368968681'}",1.36604388871674,103.855368968681,560443.0
450 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHONG BOON CENTRE', 'BLK_NO': '450', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHONG BOON CENTRE', 'ADDRESS': '450 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560450', 'POSTAL': '560450', 'X': '30464.9803770706', 'Y': '38945.5417226274', 'LATITUDE': '1.36848406233048', 'LONGITUDE': '103.855468149019'}",1.36848406233048,103.855468149019,560450.0
425 ANG MO KIO AVE 3,"{'SEARCHVAL': 'CHONG BOON VIEW', 'BLK_NO': '425', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'CHONG BOON VIEW', 'ADDRESS': '425 ANG MO KIO AVENUE 3 CHONG BOON VIEW SINGAPORE 560425', 'POSTAL': '560425', 'X': '30036.2883857982', 'Y': '39016.1241484135', 'LATITUDE': '1.36912241721255', 'LONGITUDE': '103.851616057064'}",1.36912241721255,103.851616057064,560425.0
