school_name,address,mainlevel_code,sap_ind,autonomous_ind,primary_school_LATITUDE,primary_school_LONGITUDE
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,PRIMARY,No,No,1.31236867681371,103.850766402965
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,PRIMARY,No,No,1.32980598760785,103.931710293058
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,PRIMARY,No,No,1.39726966050479,103.880330305684
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,PRIMARY,No,No,1.39030227963797,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,PRIMARY,No,No,1.34032299499938,103.855529906182
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,PRIMARY,No,No,1.33641298743234,103.69970173931
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,PRIMARY,No,No,1.43047990810126,103.778192944298
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,PRIMARY,No,No,1.33659726465816,103.736089481883
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,PRIMARY,No,No,1.28559516494962,103.815547410064
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,PRIMARY,No,No,1.31759126757284,103.883845744916
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,PRIMARY,No,No,1.35711606790292,103.949144797277
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,PRIMARY,No,No,1.39648195114256,103.91233462071
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,PRIMARY,No,No,1.3858892193692,103.767794469258
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,PRIMARY,No,No,1.43989958331782,103.804725587384
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,PRIMARY,No,No,1.31194344271383,103.902902557195
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,PRIMARY,No,No,1.31667646178347,103.784296227747
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,PRIMARY,Yes,No,1.36693830877349,103.894114899795
HONG WEN SCHOOL,30 TOWNER ROAD   ,PRIMARY,Yes,No,1.32175999964553,103.857628468881
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,PRIMARY,No,No,1.399550034492,103.913404855665
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,PRIMARY,No,No,1.37738245231461,103.880805274557
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,PRIMARY,No,No,1.42697284512936,103.844240226564
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,PRIMARY,No,No,1.42896700684852,103.790607539185
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,PRIMARY,No,No,1.42768847665227,103.830425490093
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,PRIMARY,No,No,1.37223290983498,103.852132214306
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,PRIMARY,No,No,1.34787074766746,103.939221709073
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,PRIMARY,No,No,1.34843859698946,103.733156566858
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,PRIMARY,No,No,1.33917519796104,103.698803732244
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,PRIMARY,No,No,1.3946184538592,103.908589494228
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,PRIMARY,No,No,1.34552849960874,103.756449399351
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,PRIMARY,No,No,1.3373381935639,103.847148501824
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,PRIMARY,Yes,No,1.31099674009193,103.888352029067
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,PRIMARY,No,No,1.39356050497104,103.747362720939
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,PRIMARY,No,No,1.34978223750981,103.85452928785
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,PRIMARY,No,No,1.33820397704287,103.718089546664
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,PRIMARY,No,No,1.35424191127295,103.754165828711
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,PRIMARY,Yes,No,1.32858023873554,103.901306904157
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,MIXED LEVEL (P1-S4),Yes,Yes,1.34138832211757,103.877823816158
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,PRIMARY,No,No,1.43383904037059,103.773643013846
